,Unnamed: 0,Author,Description,ReviewRating,Country,Review_Date,AirCraft,Seat_Type,Route,Date_flown,Type_of_traveller,Seat_Comfort,Cabin_staff_service,Ground_Service,Value_For_Money,Recommended,Food_And_Bevarages,Inflight_Entertainment,Wifi_and_Connectivity
54,54,"['', 'S Dayle']","""their service was hit-and-miss""",8,United Kingdom,29th December 2023,A320,Business Class,Istanbul to London Heathrow,December 2023,Solo Leisure,1.0,4.0,2.0,4,yes,5.0,1.0,
55,55,"['', 'S Neale']",""" Worse than a low-cost carrier""",6,United Kingdom,29th December 2023,A320,Economy Class,London Heathrow to Istanbul,December 2023,Solo Leisure,3.0,2.0,5.0,2,no,1.0,1.0,
56,56,"['', 'Mick Carter']","""Very Poor Business class product""",2,United Kingdom,27th December 2023,Boeing 777,Business Class,Gatwick to St Lucia,December 2023,Business,1.0,5.0,1.0,2,no,2.0,2.0,2.0
57,57,"['', 'Colin Wicks']",“if GF - take your own food”,5,United Kingdom,27th December 2023,Boeing 777,Business Class,Sydney to London Heathrow,December 2023,Couple Leisure,5.0,3.0,3.0,3,no,1.0,3.0,
58,58,"['', '7 reviews', '', '', '', 'V Simpson ']",“pathetic business class product”,3,United States,23rd December 2023,Boeing 777,Business Class,Lisbon to Houston via London Heathrow,November 2023,Business,1.0,2.0,3.0,1,no,4.0,1.0,1.0
59,59,"['', '1 reviews', '', '', '', 'S Jackson']",“Staff look tired and overworked”,6,Canada,21st December 2023,A350,Premium Economy,Vancouver to London Heathrow ,December 2023,Solo Leisure,4.0,3.0,5.0,2,no,2.0,5.0,
60,60,"['', 'T Maddern']",“I couldn’t fault them”,10,Australia,21st December 2023,A329,Business Class,London Heathrow to Stockholm,December 2023,Family Leisure,4.0,5.0,5.0,5,yes,5.0,,
61,61,"['', 'K Pearson']",“incompetence in customer service”,1,United States,21st December 2023,,Economy Class,Indianapolis to Mumbai via London Heathrow ,December 2023,Solo Leisure,1.0,1.0,1.0,1,no,,,
62,62,"['', 'C Shaw']",“The most ridiculous thing I've heard”,1,United States,20th December 2023,,Premium Economy,Cyprus to New York,December 2023,Family Leisure,,,1.0,1,no,,,
63,63,"['', '11 reviews', '', '', '', 'C Horner']","""one of the most disgusting onboard meals""",6,United Kingdom,20th December 2023,A321,Business Class,Gran Canaria  to London Gatwick,December 2023,Solo Leisure,3.0,4.0,3.0,5,yes,1.0,,
64,64,"['', 'C Lowe']",“Does BA pay experts to design these breakfasts”,6,United Kingdom,18th December 2023,A320/Boeing 777,Business Class,Belfast City to Atlanta via London Heathrow  ,November 2023,Couple Leisure,4.0,5.0,5.0,5,yes,1.0,3.0,
65,65,"['', '2 reviews', '', '', '', 'Greg Zarelli']","""business class seats were abysmal""",4,United States,17th December 2023,Boeing 787-8,Business Class,London to Portland,December 2023,Business,3.0,3.0,3.0,2,no,4.0,3.0,
66,66,"['', 'D Kears']","""Worst service/airline ever""",1,United Kingdom,15th December 2023,,Economy Class,London to Frankfurt,June 2023,Solo Leisure,1.0,,1.0,1,no,,,
67,67,"['', '6 reviews', '', '', '', 'B Jackson']",“Much better experience this time around”,8,United Kingdom,14th December 2023,A350,Business Class,Cape Town to London Heathrow ,December 2023,Solo Leisure,5.0,4.0,5.0,4,yes,5.0,5.0,1.0
68,68,"['', 'H Miller']","“our compensation rights""",3,United Kingdom,12th December 2023,,Business Class,Miami to Manchester via Heathrow,December 2023,Couple Leisure,1.0,3.0,1.0,2,no,2.0,3.0,1.0
69,69,"['', 'Allan Gittens']","""A380's are showing their age""",4,United Kingdom,12th December 2023,A380,Economy Class,Johannesburg to London ,December 2023,Solo Leisure,2.0,4.0,4.0,3,no,2.0,2.0,
70,70,"['', 'Lee Kitson']","""Service was fantastic"" ",9,United Kingdom,10th December 2023,Boeing 777,Economy Class,London Heathrow to Singapore,December 2023,Solo Leisure,3.0,5.0,4.0,5,yes,4.0,4.0,
71,71,"['', '11 reviews', '', '', '', 'S Horton']","""it was a very nice flight"" ",9,United Kingdom,10th December 2023,A320,Business Class,Gatwick to Las Palmas,December 2023,Solo Leisure,3.0,4.0,3.0,5,yes,5.0,,
72,72,"['', 'S Deyle']","""onboard service was efficient""",10,United Kingdom,9th December 2023,A319,Economy Class,London Heathrow to Geneva,December 2023,Couple Leisure,4.0,5.0,5.0,5,yes,5.0,,5.0
73,73,"['', '1 reviews', '', '', '', 'Fernando Velez']",“Lots of stress”,1,Ecuador,6th December 2023,,Economy Class,Madrid to San Francisco via London Heathrow,November 2023,Solo Leisure,5.0,5.0,1.0,1,no,5.0,4.0,1.0
74,74,"['', 'T Perino']","""did not offer a wheelchair""",1,United States,5th December 2023,,Economy Class,Lisbon to London Heathrow,November 2023,Couple Leisure,1.0,1.0,1.0,1,no,,,
75,75,"['', 'E Smyth']",“Seat was fine but product ageing”,7,United Kingdom,4th December 2023,A380,Business Class,Miami to London Heathrow ,November 2023,Couple Leisure,4.0,3.0,4.0,3,yes,4.0,4.0,3.0
76,76,"['', 'F Orlandino']","""such a terrible customer experience"" ",1,United Kingdom,3rd December 2023,,Economy Class,Palma de Mallorca to Gatwick,December 2023,Family Leisure,1.0,1.0,1.0,1,no,,,
77,77,"['', 'A Gittens']","""I was pleasantly surprised""",5,United Kingdom,30th November 2023,Boeing 787-9,Economy Class,London to Johannesburg,November 2023,Solo Leisure,2.0,3.0,4.0,3,yes,3.0,1.0,1.0
78,78,"['', 'Bert Vissers']","""Buckle up, folks; this one's a rollercoaster""",1,Switzerland,26th November 2023,,Economy Class,Zürich to Tokyo Haneda via London,July 2023,Family Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
79,79,"['', 'E Smyth']","""cabin crew excellent""",9,United Kingdom,23rd November 2023,A380,First Class,London to Miami,November 2023,Couple Leisure,5.0,5.0,4.0,4,yes,5.0,5.0,2.0
80,80,"['', 'L Keele']","""Service level far worse then Ryanair""",1,Germany,19th November 2023,,Economy Class,London to Stuttgart,November 2023,Couple Leisure,1.0,1.0,1.0,1,no,,,
81,81,"['', 'Austin Jones']","""do not upgrade members based on status""",3,United States,19th November 2023,A320,Economy Class,Brussels to London,November 2023,Business,2.0,3.0,1.0,2,no,1.0,2.0,2.0
82,82,"['', 'M A Collie']","""Flight was smooth and quick""",8,Ireland,16th November 2023,A320,Business Class,London Heathrow to Dublin,November 2023,Couple Leisure,3.0,3.0,4.0,3,yes,4.0,,
83,83,"['', 'Nigel Dean']","""Absolutely hopeless airline""",1,Australia,16th November 2023,,Economy Class,London to Dublin,December 2022,Couple Leisure,3.0,3.0,1.0,1,no,,,
84,84,"['', 'Gaylynne Simpson']","""Customer Service is non existent""",1,United States,14th November 2023,,Economy Class,London to Lisbon,November 2023,Couple Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
85,85,"['', 'A Narden']","""I can’t imagine a worst airline""",1,Romania,12th November 2023,A320,Economy Class,Bucharest to Manchester via London,September 2023,Solo Leisure,1.0,1.0,1.0,1,no,1.0,1.0,
86,86,"['', 'Graeme Boothman']","""sufficient leg and arm room""",8,United Kingdom,8th November 2023,Boeing 777-300,Premium Economy,Manchester to Cape Town via London,November 2023,Couple Leisure,5.0,5.0,4.0,4,yes,4.0,4.0,
87,87,"['', 'R Vines']",“crew were polite”,7,United Kingdom,7th November 2023,A320,Economy Class,Seville to London Gatwick ,November 2023,Solo Leisure,3.0,3.0,3.0,3,yes,3.0,,
88,88,"['', 'Massimo Tricca']","""Angry, disappointed, and unsatisfied""",2,Italy,5th November 2023,Boeing 777,Economy Class,London Heatrow to Atlanta,November 2023,Family Leisure,4.0,5.0,3.0,5,yes,4.0,4.0,3.0
89,89,"['', 'J Kaye']","""BA now stands for Basic Airways""",3,United Kingdom,5th November 2023,,Economy Class,Gatwick to Antalya,October 2023,Couple Leisure,3.0,3.0,3.0,1,no,1.0,1.0,1.0
90,90,"['', 'M Collie']","""A totally unremarkable flight""",8,Ireland,4th November 2023,A320,Business Class,Dublin to London Heathrow,November 2023,Couple Leisure,3.0,3.0,4.0,3,yes,,,
91,91,"['', 'J Furlong']",“BA clearly does not care”,1,United States,31st October 2023,,Economy Class,Anchorage to Heathrow via Barcelona,October 2023,Couple Leisure,3.0,3.0,1.0,1,no,3.0,3.0,3.0
92,92,"['', 'C Barton']","""reflect a downward trend of the airline""",6,United Kingdom,28th October 2023,A320,Economy Class,London Heathrow to Gibraltar,October 2023,Solo Leisure,3.0,1.0,3.0,2,no,1.0,,1.0
93,93,"['', 'M Davidson']","""One of my better flights""",8,United States,24th October 2023,,Economy Class,London to Philadelphia,October 2023,Couple Leisure,4.0,5.0,5.0,5,yes,4.0,3.0,
94,94,"['', 'Michael Gardiner']","""I would still recommend BA"" ",7,United Kingdom,23rd October 2023,A321 neo,Economy Class,London Heathrow to Cairo,October 2023,Business,3.0,5.0,5.0,2,yes,3.0,,
95,95,"['', 'Terry Anderson']","""the worst experience ever""",1,United States,22nd October 2023,,Economy Class,Seattle to Porto via Heathrow,October 2023,Couple Leisure,2.0,3.0,1.0,1,no,3.0,3.0,3.0
96,96,"['', 'Philip Thompson']","""an exceptional crew member"" ",8,United Kingdom,22nd October 2023,A320,Economy Class,Malta to London Gatwick,October 2023,Couple Leisure,4.0,5.0,4.0,4,yes,3.0,,
97,97,"['', 'M Meijs']","""even Ryanair have more space""",3,Netherlands,21st October 2023,,Economy Class,London to Amsterdam,October 2023,Solo Leisure,1.0,3.0,2.0,1,no,,,
98,98,"['', 'Mehmet Sahiner']","""in-flight service is usually weak""",4,United Kingdom,21st October 2023,A380-800,Economy Class,San Francisco to London,October 2023,Solo Leisure,3.0,2.0,2.0,3,no,2.0,3.0,
99,99,"['', '2 reviews', '', '', '', 'T Meares']","""BA customer service is a disgrace""",1,United Kingdom,19th October 2023,,Business Class,İstanbul to London,October 2023,Solo Leisure,2.0,1.0,2.0,1,no,1.0,1.0,1.0
100,100,"['', 'Mark LaForest']","""little concern for customer service""",1,United States,19th October 2023,,Economy Class,London to Austin,October 2023,Couple Leisure,1.0,1.0,1.0,1,no,1.0,5.0,
101,101,"['', 'A Gernal']","""gave up being a full-service airline""",1,United Kingdom,17th October 2023,A320,Economy Class,Geneva to London Heathrow,October 2023,Solo Leisure,1.0,2.0,1.0,2,no,1.0,,
102,102,"['', 'S Carter']",“I hate British Airways!”,1,United States,17th October 2023,,Economy Class,Istanbul via London,October 2023,Couple Leisure,1.0,3.0,1.0,1,no,3.0,4.0,
103,103,"['', '44 reviews', '', '', '', 'J Horner']","""2½ hours before the bags finally arrived"" ",5,United Kingdom,16th October 2023,A320,Business Class,Porto to London ,September 2023,Couple Leisure,4.0,5.0,1.0,4,no,4.0,,
104,104,"['', 'N Anderson']","""left on your own and nobody cares""",3,United Kingdom,14th October 2023,A320-232,Economy Class,London Heathrow to Geneva,October 2023,Solo Leisure,2.0,4.0,1.0,4,no,1.0,,1.0
105,105,"['', 'M Dale']","""Club Europe is simply a joke""",5,United Kingdom,14th October 2023,A320,Business Class,London to Istanbul,October 2023,Business,3.0,4.0,3.0,2,no,1.0,1.0,1.0
106,106,"['', 'J Tydeman']","""Very second rate shoddy airline""",4,United Kingdom,12th October 2023,,Economy Class,London Gatwick to Punta Cana,October 2023,Couple Leisure,3.0,3.0,2.0,2,no,3.0,2.0,
107,107,"['', 'Hugh Kilpatrick']","""some sort of medieval torture""",1,Australia,12th October 2023,,Business Class,London to Hong Kong,July 2023,Solo Leisure,1.0,5.0,5.0,1,no,3.0,3.0,
108,108,"['', 'Glenn Taylor-Biffen']","""Never again BA"" ",1,United Kingdom,11th October 2023,A320,Economy Class,Catania to Gatwick,October 2023,Couple Leisure,1.0,1.0,1.0,1,no,1.0,,
109,109,"['', 'Glenn Taylor-Biffen']","""BA Gatwick are not BA"" ",2,United Kingdom,11th October 2023,,Economy Class,Gatwick to Venice ,September 2023,Couple Leisure,,,1.0,1,no,,,
110,110,"['', 'S Harten']","""Boarding flight took an hour"" ",1,United Kingdom,10th October 2023,A321,Economy Class,Berlin to London,October 2023,Solo Leisure,3.0,1.0,1.0,1,no,1.0,,
111,111,"['', 'Terry Thomason']","""our luggage was soaking wet""",1,United States,8th October 2023,,Economy Class,Atlanta to Glasgow via London,September 2023,Couple Leisure,3.0,3.0,1.0,3,no,1.0,4.0,4.0
112,112,"['', 'T Hanson']","""The worst airline I have ever flown""",1,Australia,7th October 2023,Boeing 787,Economy Class,Singapore to Sydney,October 2023,Couple Leisure,1.0,1.0,1.0,1,no,2.0,1.0,
113,113,"['', 'Peter Costello']","""Excellent service levels""",10,United Kingdom,7th October 2023,Boeing 777,First Class,London to New York JFK,October 2023,Solo Leisure,5.0,5.0,5.0,5,yes,5.0,4.0,5.0
114,114,"['', 'Kane Kelly']","""British Airways was absolutely shocking""",1,United Kingdom,5th October 2023,BA366,Business Class,Heathrow to Marseille,August 2023,Couple Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
115,115,"['', 'Gary Storer']","""service was mediocre at best""",2,United Kingdom,3rd October 2023,A380,Economy Class,Chicago to Manchester via Heathrow,October 2023,Couple Leisure,2.0,3.0,2.0,2,no,1.0,,
116,116,"['', 'A Jensen']","""BA standards continue to decline""",2,United Kingdom,2nd October 2023,A320,Business Class,London Heathrow to Munich,September 2023,Business,2.0,1.0,1.0,1,no,2.0,,1.0
117,117,"['', 'John Rockett']","""won the race to the bottom"" ",2,United Kingdom,2nd October 2023,A320,Business Class,Heathrow to Istanbul,September 2023,Couple Leisure,2.0,3.0,1.0,1,no,2.0,,
118,118,"['', 'Tatiana Bobrovskaya']","""Not a reliable airline""",3,United Kingdom,2nd October 2023,A320,Economy Class,London to Geneva,October 2023,Business,4.0,4.0,1.0,1,no,2.0,,
119,119,"['', 'A Dawson']","""It is a national disgrace""",1,United Kingdom,30th September 2023,,Business Class,Athens to London,September 2023,Couple Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
120,120,"['', 'Massimo Garavaglia']","""The worst journey in my life""",3,Italy,30th September 2023,,Economy Class,Milan to San Jose via London,September 2023,Business,3.0,3.0,1.0,1,no,2.0,4.0,1.0
121,121,"['', 'Tom Slowbe']","""Very disappointed""",4,United States,28th September 2023,777-300 and A320,First Class,Dallas to Dubrovnik via Heathrow,September 2023,Couple Leisure,1.0,4.0,3.0,2,no,4.0,3.0,3.0
122,122,"['', 'E Anderson']","""the service was shockingly bad""",1,United Kingdom,28th September 2023,A321,Business Class,London to Seville,September 2023,Business,2.0,1.0,1.0,1,no,1.0,,
123,123,"['', '1 reviews', '', '', '', 'C Horden']","""Never again will I fly BA""",1,United Kingdom,27th September 2023,,Economy Class,London Heathrow to Tokyo,September 2023,Couple Leisure,1.0,1.0,2.0,1,no,1.0,3.0,
124,124,"['', 'P Cooper']","""never fly this awful airline again"" ",1,United States,23rd September 2023,,Business Class,Miami to Dublin via London Heathrow,August 2023,Solo Leisure,1.0,3.0,1.0,1,no,2.0,1.0,1.0
125,125,"['', 'Bruce Friedman']","""I’ll never fly with them again""",1,United States,22nd September 2023,,Business Class,Prague to San Francisco via London,September 2023,Business,1.0,3.0,1.0,1,no,3.0,,1.0
126,126,"['', 'R Barton']","""the worst of the worst""",1,United Kingdom,22nd September 2023,,Economy Class,London to Glasgow,September 2023,Business,1.0,1.0,1.0,1,no,1.0,1.0,1.0
127,127,"['', 'Terri Galli']","""everyone refused to help us"" ",1,France,20th September 2023,,Economy Class,San Diego to Marseille via London ,August 2023,Family Leisure,3.0,2.0,1.0,3,no,3.0,3.0,1.0
128,128,"['', 'Selcuk Benter']","""not a single feedback from British Airways""",1,Germany,20th September 2023,A350,Premium Economy,Hamburg to Las Vegas via London,August 2023,Business,2.0,2.0,1.0,1,no,2.0,3.0,
129,129,"['', 'Marianne Roehricht']","""never fly British Airways again""",1,Switzerland,19th September 2023,,Economy Class,London to Los Angeles,July 2023,Family Leisure,,,,1,no,,,
130,130,"['', '44 reviews', '', '', '', 'John Rolfe']","""Club Europe doesn’t feel very premium""",6,United Kingdom,18th September 2023,A320,Business Class,London Heathrow to Porto,September 2023,Couple Leisure,3.0,4.0,4.0,4,yes,3.0,,
131,131,"['', 'David Amory']","""the worst airline in the UK""",1,United Kingdom,16th September 2023,,Economy Class,London to Dalaman,September 2023,Couple Leisure,,,3.0,1,no,,,
132,132,"['', 'S Sharpe']","""Worst BA experience""",2,South Africa,15th September 2023,,Economy Class,Johannesburg to Milan via London,September 2023,Solo Leisure,,,,2,no,,,
